Date,Transaction status,Transaction type,Order ID,Product Details,Total product charges,Total promotional rebates,Amazon fees,Other,Total (EUR)
14/02/2025,Released,Order Payment,171-9877025-1852333,Spray Yara 100ml,52.66,0,-20.45,11.58,43.79
14/02/2025,Released,Order Payment,407-5212238-1017963,Lattafa Ansaam Silver EDP U 100 ml,31.96,0,-11.02,7.03,27.97
14/02/2025,Released,Order Payment,408-1593510-1777114,Paris Corner Taskeen Caramel Cascade Eau...,32.78,-3.27,-14.93,10.48,25.06
14/02/2025,Released,Order Payment,171-0576877-7972321,Spray Yara 100ml,24.18,0,-9.83,5.32,19.67
13/02/2025,Released,Order Payment,171-8225718-0888307,Spray Yara 100ml,25.97,0,-10.16,5.71,21.52
13/02/2025,Released,Order Payment,407-8806344-6497962,Spray Yara 100ml,24.8,0,-9.94,5.46,20.32
13/02/2025,Released,Refund,406-3644344-3330738,Spray Yara 100ml,-26.66,0,4,-5.87,-28.53
13/02/2025,Released,Order Payment,407-3809934-8424363,Spray Yara 100ml,26.23,0,-10.21,5.77,21.79
13/02/2025,Released,Order Payment,408-9825698-1991553,Spray Yara 100ml,25.17,0,-10.01,5.54,20.7
13/02/2025,Released,Order Payment,171-7201755-8137103,Spray Yara 100ml,26.17,-0.7,-10.2,6.46,21.73
13/02/2025,Released,Order Payment,408-9728515-3033149,Spray Yara 100ml,25.78,-0.81,-9.86,6.48,21.59
13/02/2025,Released,Order Payment,406-0563930-9984336,Spray Yara 100ml,26.43,0,-10.25,5.82,22
13/02/2025,Released,Order Payment,403-1792892-6596361,Spray Yara 100ml,26.27,0,-10.22,5.78,21.83
13/02/2025,Released,Order Payment,406-3644344-3330738,Spray Yara 100ml,26.66,0,-10.29,5.87,22.24
13/02/2025,Released,Order Payment,403-4186008-7463560,"Eau de Parfum Opulent Musk, profumo unis...",37.7,-1.64,-16.84,9.94,29.16
13/02/2025,Released,Order Payment,408-7910279-6909121,Spray Yara 100ml,25.3,0,-10.03,5.56,20.83
13/02/2025,Released,Order Payment,407-9864329-4448369,Spray Yara 100ml,26.14,0,-10.19,5.75,21.7
